ENSXETG00000020444,ENSXETG00000034361,ENSXETG00000027596,ENSXETG00000016681,ENSXETG00000040503,ENSXETG00000016572,ENSXETG00000009516,ENSXETG00000001339,ENSXETG00000011825,ENSXETG00000014751,ENSXETG00000039639,ENSXETG00000000488,ENSXETG00000016385,ENSXETG00000027751,ENSXETG00000007390,ENSXETG00000024684,ENSXETG00000046081,ENSXETG00000017402,ENSXETG00000023384,ENSXETG00000005347,ENSXETG00000012164,ENSXETG00000002665,ENSXETG00000010814,ENSXETG00000008512,ENSXETG00000011722,ENSXETG00000002770,ENSXETG00000014251,ENSXETG00000006391,ENSXETG00000009903,ENSXETG00000007404,ENSXETG00000011651,ENSXETG00000014771,ENSXETG00000010361,ENSXETG00000034500,ENSXETG00000044879,ENSXETG00000027727,ENSXETG00000015926,Terms
,"31995605,34311469",,34102191,29440302,"19393622,24042587,32239379,26685160","12628186,15287743,25096996",,25783682,27930687,"10931916,17537995,17965020,19439179,9409622,23793017,25326457","19364821,11713533,12037672,17289077,19883659,16331689,18391197","19524571,20059949,22184064,26305884,32098961,20100936","26818658,26991250,29546593,30185885,28468944,26744461,33017189,30858501,30347620",22837305,22757692,"11771749,21164013,21164014,33758202,28613156,23781026,12221279,30626720,24618897,21852956,18927152","20095964,16809425,29581457,28768491,31133884","22757692,11181577,19107570,25594180,34040028","28179017,24188528","28975734,34199160","25096996,31982271,20688971","28257485,33361324","32493433,27721687","16360036,24027268,29724888,28324005",14640981,12244100,"23008267,18222016,17118580,19417104,23184662,24648518,21394738,15998247,31620020,25555378,23113029,30356767,32708393,18065650,35164288,35817801",,"26496923,19665017,22025680,33492732,30659190,27756895","17890166,21123651,26240280,34110282,24954387",,"11986303,20919932,12492477,20873783,21850687,20649472,25204677,15956211,15824112","16157662,34947982,28068390,22046331,27573699,33553005,23691188,20018887",,,11971985,kinase
,,"19289464,23159739",,,,"18180367,24965446,25116916,24147004,33916053",21911385,,,"22118625,33284322,33495278",,,,16244664,,,,,,"33888601,28975734,35585045,20974809","28632987,29235198,31819004,21464306,20074381,25479903,30918062,32906706,16251277","2050125,2095458,7592562","30918062,27721687,32039234","33916053,12183465,18775702,22967762,24027268,22933270,31723020,29898807",,,"20074381,23008267,18222016,19417104,23001565,24648518,21394738,16525935,18627462,10428815,12692531,15316019,15998247,28685837,22987813,24140707,29433420,22288420,21825280,28267607,18065650,28555368,22059956,33688012,31133003,19862763,35817801,28513600",,33492732,"7922339,8631310,23321469,21123651,26240280,34110282,22912857,35013429,31701124,31197210,25965334,26121143",31197210,"20649472,18271751","33916053,10944119,15262146,15371445,15452064,17187778,17213197,17360499,18067580,19379712,22771473,27306458,8253832,32882370,14622290,16519677,1903841,14675757,16157662,16914118,19120453,19338753,19424157,3119589,8307948,8314769,15003625,16600425,18304977,20492553,21173025,21383540,18633122,21750984,34273022,34947982,32605139,32817651,33188200,11976098,23716598,33044977,27098988,31015652,33592076,23604074,22163185,34039408,25240600,33553005,26689807,22834699,23691188,31906144,20018887,30654474",,,,translation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15262146,15371445,15452064,16987817,17187778,17213197,17360499,18067580,19379712,22771473,27306458,33547280,32882370,14622290,16519677,14675757,16157662,16215987,16408210,16914118,19120453,19338753,19424157,16600425,18304977,20492553,21383540,18633122,21750984,34273022,34921595,34947982,32605139,32817651,33188200,33044977,27098988,33592076,22834699,20018887",,,,eif5a
"34357055,27213757,35563075","19487983,36014946,32272486","16135753,23116197","28433741,26706854,25105228","20396904,22715480,17670791,7898305,31969185,25999792,17597530","22986828,33215805,28479339,35681437,21116826","15642345,16420440,20844742,31191638,32959027",24731717,19141675,"8798450,24284412","9341872,17393485,34810232",,"22184064,32796722","26991250,29546593,30185885,30347620",,"32796722,10526337,14656991,18440095,18524908,20036644,17892558,21873424,29476059,22757692","27380244,11771749,17893145,18973346,14738879","24908109,22321011,31870285","32959027,22757692,32918239,26934888,33752971,34040028,32331968","18452710,17567946,20003521,24710523,22860605,32183175,31191748,23718750,24188528,19469553,16221301,15901252","33888601,32737368,33731672,31635106","20381070,31168311,35268596",,,"36014946,18575609",,"23000143,32522152","23116197,18973667,22206011",,"32111039,33492732,33034629","16033648,7744952,34238312",,"35809345,8554614,21969592,22166015,21850687,29427714,21526488","17360499,14622290",27911326,,"19039140,20678994",brain
,"1989603,1996112",,,"18728160,30928384,14645121,12710967,15347652,26985665,18385377,17597530,17872382","18056716,24042587,16115867,15383550,19497851,21723936,35220830,27760456,21503878,18322277,15456894,17239227,25815730","18039846,31608791","34016745,33905521",,,"16239143,22966205,15860628,11897684,21507896,19144721,21680841,15576338,22669741","16245309,17289077,21509660,33600051,16331689,10364329,10393184,10913173,12065898,12944466,16109376,16109377,24515107,18391197",30411496,,21503958,,,,25594180,35414502,20974809,"12056811,20074381","21044876,18929534,21309041,2050125,2095458,27235438,28765283","32243451,28811544,19772651","16360036,31723020,28324005",,"10871379,12244100,15705566,17578910,19377461,20200153,23353889,23629655,28302723,9271389,33050986,31227231","20074381,17118580,23450745,20547565",,,"15452137,19665599,34343541,11739746,29945054,22912857",,8188254,"23450745,2656688,8307948,8314769,16600425,32605139,32817651,28592803,22834699",,,"17116691,23508108,31851938",promoter
,"28366030,25209663,12111463,1712754,12792025,36014946,31986467,26298201,34311469",,,,,"29525604,25116916,35416576,31823891","33726573,19206110",18502750,,"21933836,32294980",33600051,,28533755,,"30459560,22757692",,31506724,"22757692,19364667,32918239,31408947,29540307,34849584,31888678,33240452",35395531,"31234227,31635106,28315483","31819004,20074381,26360774,25693797","21498770,33780465,33361324",,"36014946,32294980,25418729,28324005,24658151",,,"20074381,26360774,15998247,33610896,24140707,29433420,17449658,20003296,33597172,28367141,18065650,26195524,33688012,33920578,32041176,25545414,33513391,19862763",,"34938367,26861137","25741220,31197210,28367977,34238312","31197210,25838379","18052930,28391978,35809345,34029576,34130124,23618867,12059788,12853451,19812042,12714747,8914536,27239855,30655626,27082744,26715182,21850687,28529127,27393003,21562855,20807727,29518406,28231391,19064914,20649472,25204677,25808059,21526488,21871553,33889951,23124252,15824112,23722165,16102003,16134099,15163410,18271751,19106090,24424024,12529539,31654781","33513391,21173025,28068390,32420127,32435206,31031728,33841819,33271965,34976870",,,,oxidative
15941723,"29580769,36014946,28981788",27302160,,26985665,,"32574681,21159877,31363119",9096311,,,"16641145,22416126,9393982,9756848,15140795,22966205,8626664,10847580,10858305,10931916,11259580,11514619,11525732,11897684,12403470,15590677,16767080,17537995,17965020,19439179,20454556,20932480,21933836,25765647,8045264,8449401,9409622,21680841,33729478,17393485,22118625,15576338,22215678,22669741,35886974,33476259,33495278,32332923,24523552",,,,,,,,"12616398,15975579",,"23665500,29530978","28934368,21464306",14643893,"11991638,15146077,19325628,25555158,28076346,28502770,28781166,11884590,32243451,32039234,15575968,23620288","36014946,11991638,23825951,26173930,8107114,22570411,28193846,29898807","16162498,11375989,14640981,19592703,20410308","10976766,28584052,7590226,33517344",31133003,21667333,,"23321469,14731398,35013429,25907681,26121143",,,"34039408,31906144",,,18248177,splice
29462933,"21695218,19754951,34311469","18695251,27302160,35154294",,"35474406,33015792,22508046,32549762,31845906,32277752","33215805,32239379,34508305,30535431,30551440,31646562,18158147,32951317","20015864,12628186,15287743,16341127,16818237,18439902,15060138,30890743,20844742,21049064,24965446,25116916,33916053,32873862","33726573,21120994,12815282,19480240,34016745,19206110,33760186",,,"11514619,17537995,20454556,34324523,32332923","12037672,33600051,28409330","26783066,28241067,29557391","25632391,30655546",21503958,"12082633,12442332,15983050",32077747,,"12611891,31391270,29540307,33240452","16677835,35414502,33686397,18452710,20883646,20003521,33490244,22860605",24676454,"35268596,26840285",33067979,,"33916053,20673990,26823915,29724888",,10920196,"33610896,24140707,21814176,17449658,26465331,19862763",,,"32196615,33794982,25741220,25929241,28367977",,"28391163,34130124,27082744,21850687,29427714,27393003,20807727,33889951","33916053,15371445,15452064,17187778,34921595,32605139",,,"12709428,16148126",apoptosis
29462933,1996112,19622630,,"35303522,35474406,33015792,19414065,30928384,22508046,29440302,34306176,32549762,32838760,32277752,25999792","19497851,17335796,12895028,21503878,33215805,34508305,30535431,30551440,31646562,29145165,32951317","15287743,29467488,11162633,30890743,18306214,25116916,33916053","15649459,23806211,23200852,21120994,16540541,12063187,33760186",,,"10931916,17537995,19439179,32796906","21509660,28409330,24515107","26831658,27666310,30411496,29557391",31355153,32796906,,"31943339,32077747,27380244,25547487",,33240452,"7694679,7876104,16677835,33356743,35414502,33686397,31101113,33918228,26702755,32319572,33349268,30787051,28179017,31781249,35370544,29900121","33888601,24676454,23665500,26581954",24169046,21498770,,"33916053,31021473,29898807,28265575",,"10629049,12235138,12670868,14532282,15190068,19188440,19377461,19815555,20200153,23629655,25281006,32522152,33050986,26522729","17560550,31671511,23796209,34486252",,19665017,"34491544,35614067,28487382,33794982,31197210,26121143",31197210,"34029576,23796494,11986303,8188254,8496166,28828729","33916053,15262146,17187778,19379712,14622290,16157662,16215987,15003625,34273022,34921595,32605139,33188200,11976098,33592076",,,12709428,proliferation
,35605315,12819782,,"19414065,33386644,17670791,33999993,31845906,23145006,25999792","18056716,19393622,24042587,16115867,12815054,17335796,17027239,12895028,21723936,35220830,26836061,21503878,21937107,18158147,29901112,15456894,29246798,26674964,35681437,35909540,21116826",,"21120994,33905521,32210829",18502750,29967323,"32286661,17393485,19253283,25326457","12037672,17289077,28409330,16331689,27292648",,"30185885,34944635",,"28176357,26515131,14656991,29476059",20218812,22927069,"12611891,30289745","19253283,34944635,3500230,16677835,18754322,20883646,24854554,29900121","23665500,29530978,26581954",31797905,"25482442,33067979",32243451,"33174841,25418729,28193846,29898807,28265575",,"14532282,19377461,25281006,32522152","35164288,28036352",,,28487382,34944635,"32185676,11986303,8188254,8496166,27239855,16134099,18791036",33592076,34944635,,"12709428,18248177,18295965",differentiation
,,,,,,,,,,,,,,,,,,,,,,,,,,,15998247,,,,,"18052930,20144717,22450240,12161445,12853451,15105503,19812042,18172504,11986303,12080185,12714747,16284092,21287625,19462976,18024958,21562855,20807727,19064914,25808059,15824112,19106090,12529539",,,,,prx
,,"16135753,19622630,23116197",34102191,"35303522,35474406,30797919,30928384,34306176,34559577,32549762,32838760","33215805,32239379,34508305,30551440,31646562,29145165,31638262","33686586,11360199,11555662,12628186,16341127,18439902,15060138,24965446,25116916","25046226,12952927,34016745,31576248,33760186",,,"17965020,19439179,25765647,32468006,21734034",28409330,"26831658,27666310,29557391,28381877",25632391,"16271702,22837305",14741382,"31943339,27380244,25547487","33299887,28768491,22968445","31408947,32545553,31938350","33686397,19296525,18754322,17567946,26702755,32319572,33349268,30787051,28179017,24704991,32183175,31191748,30988666","33888601,28356383,24676454,35585045,35122182,31694235",27470985,,"26162278,32296580",29724888,,"15199122,19188440,19815555,33050986,26522729","23116197,24648518",,,33794982,,"21969592,17909037,12080185,20873783,19064914",34921595,,,"11971985,12477726",tumor
,,,,"18728160,19414065,19956411,20396904,22577225,22715480,24167467,33386644,30797919,30928384,22508046,16961590,15672400,15465488,14645121,17670791,7898305,35644505,33999993,31968244,24056062,29440302,25281935,23139843,31969185,26985665,31845906,32277752,28988713,27097562,32347797,23867227,22564795,23145006,25999792,33896883,33963285,34143204,32631829,18385377,27660103,25005894,18057103",,,,,,,,,,,,,,,,,,,,31021473,,,,,,,,,,,,,otx2
"28350824,26962295,33072792,26104117,35563075","36014946,32241204,28877183",28077931,33105837,,,25116916,"31576248,33850810",,"17081065,24284412","32796906,28436273",,,"28533755,26744461,35203426,34944635",32796906,"31083566,30459560,17892558,34299332,24608635",,22968445,"34299332,31408947,30289745,29540307,19432400","34944635,24098404,33255149,24710523,32183175,31191748,23718750,29439554,29900121,28539318,35395531","35585045,24552547,31234367,31635106,16449382","20381070,31168311,27053151,27761515,20074381",28636309,"14562106,33260872,27177187,32039234,32735576","36014946,22721921,28249764,25418729,26823915,28555196,32596266,24658151,27412694,32842715",,,"14562106,20074381,32596266,32842715,14562095,12543933,33610896,27257648,32448582,31620020,27634466,33083141,29433420,27110489,33193631,26150808,22288420,20003296,32817453,30553726,26528317,26503705,31018578,25545414,26486652,29176891,32295617,32628683,29034959,35211128,19862763,30815000",,"32111039,35445918,34938367","33255149,24204595,25741220,25929241,28666451,26121143",34944635,"17081065,16823372,14562106,34130124","32817453,21383540,28068390,22046331,23604074,33841819,19575787,28592803,31906144,25663750,27379139,33271965","34944635,35265054,35811673",,,proteome
"29034528,30479852","1996112,24386424,25853266,26298201",,,22508046,18498429,"35416576,31823891","24731717,23742632",,,"17393485,19253283",16331689,,"27804976,28533755",,,12944371,"11535622,12135771,19095005,21339484,20095964,23749380,16809425,35053257,31337710,31315980,23148318,31870285,33871019","23073781,34384932,30289745,31938350","19253283,1999398,35782537,29026428,23308156","32916630,32737368,19864425","23842751,31797905,26072516",33307066,,,,,"33610896,31620020,27634466",,,"34343541,25918244,22912857,33885378,34238312",,"23796494,17707450,28828729","32817651,28068390,22163185",,,,muscle
